"Name","c_2","num_particles","num_per_layer","num_hidden_layers","c_1","omega","epochs","_wandb","epoch","val_loss","train_loss"
"graceful-sweep-252","2","84","19","1","2","0.9","250","null","249","0.14409490525722504","0.13998133606380886"
"rare-sweep-251","2","84","18","1","2","0.9","250","null","249","0.13723842899004618","0.13255372825596068"
"resilient-sweep-250","2","84","17","1","2","0.9","250","null","249","0.11181110541025796","0.12312423669629628"
"exalted-sweep-249","2","84","16","1","2","0.9","250","null","249","0.13657711446285248","0.12995858291784923"
"restful-sweep-248","2","84","15","1","2","0.9","250","null","249","0.15658844312032064","0.15702940457397038"
"flowing-sweep-247","2","84","14","1","2","0.9","250","null","249","0.11419282754262287","0.0883906837966707"
"lunar-sweep-246","2","84","13","1","2","0.9","250","null","249","0.1284103254477183","0.11813987923993004"
"easy-sweep-245","2","84","12","1","2","0.9","250","null","249","0.11187682151794434","0.10148710674709743"
"cerulean-sweep-244","2","84","11","1","2","0.9","250","null","249","0.139128174384435","0.1261878020233578"
"dazzling-sweep-242","2","82","20","1","2","0.9","250","null","249","0.14076346457004546","0.13150471482012008"
"balmy-sweep-243","2","84","10","1","2","0.9","250","null","249","0.14166378875573477","0.1285944307843844"
"laced-sweep-241","2","82","19","1","2","0.9","250","null","249","0.13996950089931487","0.1397657917605506"
"classic-sweep-240","2","82","18","1","2","0.9","250","null","249","0.19266444941361743","0.15994284086757235"
"comfy-sweep-239","2","82","17","1","2","0.9","250","null","249","0.1200095941623052","0.13495537771119012"
"elated-sweep-238","2","82","16","1","2","0.9","250","null","249","0.14866226812203726","0.13096152477794223"
"good-sweep-237","2","82","15","1","2","0.9","250","null","249","0.19097641309102376","0.15296730200449626"
"spring-sweep-236","2","82","14","1","2","0.9","250","null","249","0.13065268695354462","0.12327748586734136"
"jolly-sweep-235","2","82","13","1","2","0.9","250","null","249","0.18163514137268064","0.13979310592015584"
"mild-sweep-233","2","82","11","1","2","0.9","250","null","249","0.11981109678745268","0.1195762950513098"
"stoic-sweep-234","2","82","12","1","2","0.9","250","null","249","0.15103725592295328","0.09712100509140228"
"serene-sweep-232","2","82","10","1","2","0.9","250","null","249","0.1189182033141454","0.11322852340009476"
"good-sweep-231","2","80","20","1","2","0.9","250","null","249","0.12536300619443258","0.11706892632775837"
"effortless-sweep-230","2","80","19","1","2","0.9","250","null","249","0.1402879387140274","0.128403978380892"
"confused-sweep-229","2","80","18","1","2","0.9","250","null","249","0.1593141734600067","0.1499256604247623"
"ethereal-sweep-228","2","80","17","1","2","0.9","250","null","249","0.12508601744969686","0.12399079882436329"
"denim-sweep-227","2","80","16","1","2","0.9","250","null","249","0.10296051601568858","0.10633271551794476"
"lilac-sweep-226","2","80","15","1","2","0.9","250","null","249","0.12495052913824715","0.10185877399312124"
"peach-sweep-225","2","80","14","1","2","0.9","250","null","249","0.11258111695448556","0.09424802213907242"
"easy-sweep-224","2","80","13","1","2","0.9","250","null","249","0.09660698721806207","0.09615198324124018"
"sandy-sweep-223","2","80","12","1","2","0.9","250","null","249","0.1892352948586146","0.18059858050611283"
"dauntless-sweep-222","2","80","11","1","2","0.9","250","null","249","0.17135754525661467","0.1515954660044776"
"fast-sweep-221","2","80","10","1","2","0.9","250","null","249","0.12224503656228385","0.12857329613632626"
"wobbly-sweep-220","2","78","20","1","2","0.9","250","null","249","0.09959541807572046","0.09538920770088832"
"giddy-sweep-219","2","78","19","1","2","0.9","250","null","249","0.1293440580368042","0.11105419629149968"
"sparkling-sweep-218","2","78","18","1","2","0.9","250","null","249","0.1258716881275177","0.12002859926886028"
"magic-sweep-217","2","78","17","1","2","0.9","250","null","249","0.1479922334353129","0.1642178310288323"
"exalted-sweep-216","2","78","16","1","2","0.9","250","null","249","0.20227193633715312","0.1884542763233185"
