"Name","c_2","num_hidden_layers","c_1","omega","epochs","num_particles","num_per_layer","_wandb","epoch","val_loss","train_loss"
"logical-sweep-466","2","1","2","0.15","250","84","10","null","249","0.16831737061341603","0.16322897672653197"
"dauntless-sweep-465","2","1","2","0.1","250","84","10","null","249","0.11981088022391","0.11731239242686166"
"woven-sweep-464","2","1","2","0.05","250","84","10","null","249","0.15684836208820344","0.15833674636152056"
"olive-sweep-463","2","1","2","0","250","84","10","null","249","0.1602552831172943","0.16512799693478478"
"fresh-sweep-462","2","1","2","1","250","82","10","null","249","0.1767477442820867","0.15735298759407468"
"cool-sweep-461","2","1","2","0.95","250","82","10","null","249","0.169579083720843","0.1551974442270067"
"worldly-sweep-460","2","1","2","0.9","250","82","10","null","249","0.1189182033141454","0.11322852340009476"
"fallen-sweep-459","2","1","2","0.85","250","82","10","null","249","0.12125811676184337","0.1032348954015308"
"lilac-sweep-458","2","1","2","0.8","250","82","10","null","249","0.10863885581493378","0.07979976849423515"
"fine-sweep-457","2","1","2","0.75","250","82","10","null","249","0.08621594309806824","0.04892529861794578"
"crisp-sweep-456","2","1","2","0.7","250","82","10","null","249","0.0909292628367742","0.05695532941155963"
"proud-sweep-455","2","1","2","0.65","250","82","10","null","249","0.0577105904618899","0.04549797909955184"
"noble-sweep-454","2","1","2","0.6","250","82","10","null","249","0.07563469509283702","0.05465293063057793"
"jolly-sweep-453","2","1","2","0.55","250","82","10","null","249","0.09410757770140966","0.07190979421138763"
"golden-sweep-452","2","1","2","0.5","250","82","10","null","249","0.1086149717370669","0.08391292376650704"
"peach-sweep-451","2","1","2","0.45","250","82","10","null","249","0.1282297819852829","0.09002105577124489"
"laced-sweep-450","2","1","2","0.4","250","82","10","null","249","0.11198032995065052","0.09362986518277062"
"upbeat-sweep-449","2","1","2","0.35","250","82","10","null","249","0.10611989200115204","0.0888421775566207"
"copper-sweep-448","2","1","2","0.3","250","82","10","null","249","0.13955204387505848","0.0811898108985689"
"major-sweep-447","2","1","2","0.25","250","82","10","null","249","0.12765640219052632","0.1008206609222624"
"lunar-sweep-446","2","1","2","0.2","250","82","10","null","249","0.12495020925998689","0.0910720341735416"
"sweet-sweep-445","2","1","2","0.15","250","82","10","null","249","0.15809350311756137","0.11622837136189144"
"logical-sweep-444","2","1","2","0.1","250","82","10","null","249","0.124496258298556","0.11188781195216708"
"sage-sweep-443","2","1","2","0.05","250","82","10","null","249","0.1506324181954066","0.12012062619129817"
"glorious-sweep-442","2","1","2","0","250","82","10","null","249","0.1437855064868927","0.11901543620559904"
"sweet-sweep-441","2","1","2","1","250","80","10","null","249","0.1348836580912272","0.14600220322608948"
"worldly-sweep-440","2","1","2","0.95","250","80","10","null","249","0.13545633355776468","0.1461249808470408"
"chocolate-sweep-439","2","1","2","0.9","250","80","10","null","249","0.12224503656228385","0.12857329613632626"
"scarlet-sweep-438","2","1","2","0.85","250","80","10","null","249","0.08793280969063441","0.08467830369869868"
"valiant-sweep-437","2","1","2","0.8","250","80","10","null","249","0.08716380298137665","0.06339453980326652"
"dulcet-sweep-436","2","1","2","0.75","250","80","10","null","249","0.09747865498065948","0.08377012982964516"
"zany-sweep-435","2","1","2","0.7","250","80","10","null","249","0.07379902551571528","0.047118418249819015"
"lilac-sweep-434","2","1","2","0.65","250","80","10","null","249","0.10190204878648122","0.08927460677093929"
"glad-sweep-433","2","1","2","0.6","250","80","10","null","249","0.06591916928688685","0.06708486874898274"
"ethereal-sweep-432","2","1","2","0.55","250","80","10","null","249","0.09165373146533966","0.0744861912396219"
"daily-sweep-431","2","1","2","0.5","250","80","10","null","249","0.04384443014860153","0.043474387460284765"
"robust-sweep-430","2","1","2","0.45","250","80","10","null","249","0.11566793819268543","0.11838690688212712"
"efficient-sweep-429","2","1","2","0.4","250","80","10","null","249","0.10667624970277152","0.08886854300896327"
"resilient-sweep-428","2","1","2","0.35","250","80","10","null","249","0.08387536903222402","0.07521741688251496"
"brisk-sweep-427","2","1","2","0.3","250","80","10","null","249","0.0791122262676557","0.07750132514370812"
"kind-sweep-426","2","1","2","0.25","250","80","10","null","249","0.10986721217632292","0.1032950239049064"
"vague-sweep-425","2","1","2","0.2","250","80","10","null","249","0.11813358316818871","0.11490918182664447"
"dainty-sweep-424","2","1","2","0.15","250","80","10","null","249","0.13891343176364898","0.11431651032633253"
"pious-sweep-423","2","1","2","0.1","250","80","10","null","249","0.20095149676005045","0.1449154837263955"
"rural-sweep-422","2","1","2","0.05","250","80","10","null","249","0.1622191439072291","0.13570480396350224"
"vocal-sweep-421","2","1","2","0","250","80","10","null","249","0.17827581067879994","0.13361098418633144"
"fiery-sweep-420","2","1","2","1","250","78","10","null","249","0.1446989824374517","0.09616924656762016"
"generous-sweep-419","2","1","2","0.95","250","78","10","null","249","0.1351328785220782","0.11978865133391486"
"rich-sweep-418","2","1","2","0.9","250","78","10","null","249","0.15514642198880513","0.13385346482197444"
"copper-sweep-417","2","1","2","0.85","250","78","10","null","249","0.10392686973015468","0.11754766835106745"
"chocolate-sweep-416","2","1","2","0.8","250","78","10","null","249","0.10883196294307708","0.08891161647107866"
"brisk-sweep-415","2","1","2","0.75","250","78","10","null","249","0.061358340581258136","0.038068886639343366"
"polished-sweep-414","2","1","2","0.7","250","78","10","null","249","0.0530932346979777","0.04499762198991246"
"graceful-sweep-413","2","1","2","0.65","250","78","10","null","249","0.0452815388639768","0.03517747600045469"
"wise-sweep-412","2","1","2","0.6","250","78","10","null","249","0.09339296023050944","0.04967176160878605"
"glowing-sweep-411","2","1","2","0.55","250","78","10","null","249","0.09341599196195602","0.06866378204690085"
"ethereal-sweep-410","2","1","2","0.5","250","78","10","null","249","0.07918347169955571","0.05261853494577938"
"avid-sweep-409","2","1","2","0.45","250","78","10","null","249","0.08501628339290619","0.05721679230531056"
"good-sweep-408","2","1","2","0.4","250","78","10","null","249","0.110348641872406","0.07814323869016436"
"distinctive-sweep-407","2","1","2","0.35","250","78","10","null","249","0.10761495480934778","0.0959179386496544"
"easy-sweep-406","2","1","2","0.3","250","78","10","null","249","0.0823689783612887","0.060323006245825025"
"serene-sweep-405","2","1","2","0.25","250","78","10","null","249","0.09404814491669336","0.08039127886295319"
"earnest-sweep-404","2","1","2","0.2","250","78","10","null","249","0.1171489159266154","0.0936633073621326"
"young-sweep-403","2","1","2","0.15","250","78","10","null","249","0.10326126664876938","0.08799151248402065"
"deft-sweep-402","2","1","2","0.1","250","78","10","null","249","0.1219709739089012","0.09457464118798574"
"wild-sweep-401","2","1","2","0.05","250","78","10","null","249","0.15365675886472066","0.10738280167182286"
"cool-sweep-400","2","1","2","0","250","78","10","null","249","0.16374108692010245","0.13598654137717353"
"brisk-sweep-399","2","1","2","1","250","76","10","null","249","0.16249290804068248","0.14153553015655942"
"soft-sweep-398","2","1","2","0.95","250","76","10","null","249","0.1752785970767339","0.15213577813572354"
"genial-sweep-397","2","1","2","0.9","250","76","10","null","249","0.15181202391783397","0.12282151381174725"
"comfy-sweep-396","2","1","2","0.85","250","76","10","null","249","0.078727887570858","0.08410365945763058"
"ethereal-sweep-395","2","1","2","0.8","250","76","10","null","249","0.06705049475034078","0.05483841515249676"
"happy-sweep-394","2","1","2","0.75","250","76","10","null","249","0.06702686548233032","0.05227171099848217"
"glorious-sweep-393","2","1","2","0.7","250","76","10","null","249","0.10601825416088104","0.0782140076160431"
"lunar-sweep-392","2","1","2","0.65","250","76","10","null","249","0.12485396564006804","0.06753684050507015"
"atomic-sweep-391","2","1","2","0.6","250","76","10","null","249","0.11923864881197611","0.10329451031155056"
"smart-sweep-390","2","1","2","0.55","250","76","10","null","249","0.08599586387475332","0.07740093568960825"
"autumn-sweep-389","2","1","2","0.5","250","76","10","null","249","0.10602503965298336","0.08311751087506612"
"apricot-sweep-388","2","1","2","0.45","250","76","10","null","249","0.09770607302586236","0.08921336531639099"
"iconic-sweep-387","2","1","2","0.4","250","76","10","null","249","0.1327683260043462","0.12714076770676508"
"autumn-sweep-386","2","1","2","0.35","250","76","10","null","249","0.13248216807842256","0.0986915053592788"
"logical-sweep-385","2","1","2","0.3","250","76","10","null","249","0.15197644929091136","0.10649410602119234"
"lilac-sweep-384","2","1","2","0.25","250","76","10","null","249","0.14718380967775982","0.11570823391278584"
"sweet-sweep-383","2","1","2","0.2","250","76","10","null","249","0.17017464737097424","0.14256474839316474"
"rosy-sweep-382","2","1","2","0.15","250","76","10","null","249","0.16255815227826437","0.13869141538937887"
"misunderstood-sweep-381","2","1","2","0.1","250","76","10","null","249","0.15988803406556448","0.15590730607509612"
"fresh-sweep-380","2","1","2","0.05","250","76","10","null","249","0.15749478141466777","0.12090701460838318"
"sunny-sweep-379","2","1","2","0","250","76","10","null","249","0.1896544208129247","0.13454191436370214"
"still-sweep-378","2","1","2","1","250","74","10","null","249","0.14918619891007742","0.1407676809363895"
"gallant-sweep-377","2","1","2","0.95","250","74","10","null","249","0.18396000762780507","0.1614112208286921"
"frosty-sweep-376","2","1","2","0.9","250","74","10","null","249","0.17907947103182476","0.17697035008006626"
"dark-sweep-375","2","1","2","0.85","250","74","10","null","249","0.121174360315005","0.10627491805288526"
"desert-sweep-374","2","1","2","0.8","250","74","10","null","249","0.10074735929568608","0.08933247029781341"
