"Name","c_1","num_particles","num_hidden_layers","c_2","omega","epochs","num_per_layer","_wandb","epoch","val_loss","train_loss"
"clean-sweep-190","2","90","2","2","0.9","250","10","null","249","0.10796222140391667","0.08499116020070183"
"swift-sweep-189","2","89","2","2","0.9","250","10","null","249","0.09091598093509674","0.08563578791088527"
"true-sweep-188","2","88","2","2","0.9","250","10","null","249","0.11056683311859766","0.11289707273244858"
"floral-sweep-187","2","87","2","2","0.9","250","10","null","249","0.10249957392613092","0.114786058333185"
"generous-sweep-186","2","86","2","2","0.9","250","10","null","249","0.13397354185581206","0.1100130526555909"
"daily-sweep-185","2","85","2","2","0.9","250","10","null","249","0.12057801783084868","0.13525271895858976"
"glorious-sweep-184","2","84","2","2","0.9","250","10","null","249","0.13138773739337922","0.12627918786472744"
"serene-sweep-183","2","83","2","2","0.9","250","10","null","249","0.12186842461427053","0.11612354318300884"
"rural-sweep-182","2","82","2","2","0.9","250","10","null","249","0.1283017377058665","0.11801147179471122"
"super-sweep-181","2","81","2","2","0.9","250","10","null","249","0.11161052286624908","0.1137442120247417"
"smart-sweep-180","2","80","2","2","0.9","250","10","null","249","0.1090269535779953","0.12512519624498156"
"lemon-sweep-179","2","79","2","2","0.9","250","10","null","249","0.13817896644274394","0.13099981860982046"
"youthful-sweep-178","2","78","2","2","0.9","250","10","null","249","0.14607916573683422","0.13318133453528086"
"kind-sweep-177","null","77","2","null","null","null","null","null","null","null","null"
"balmy-sweep-176","null","76","2","null","null","null","null","null","null","null","null"
"dry-sweep-175","2","75","2","2","0.9","250","10","null","249","0.1459279199441274","0.141324312488238"
"elated-sweep-174","2","74","2","2","0.9","250","10","null","249","0.1777406523625056","0.17064472105767992"
"royal-sweep-173","2","73","2","2","0.9","250","10","null","249","0.20877388219038645","0.18424811727470825"
"hearty-sweep-172","2","72","2","2","0.9","250","10","null","249","0.11593645513057708","0.12050454335080252"
"proud-sweep-171","2","71","2","2","0.9","250","10","null","249","0.16921637952327728","0.14825750026437973"
"glorious-sweep-170","2","70","2","2","0.9","250","10","null","249","0.1326648602883021","0.14255274881919225"
"hearty-sweep-169","2","69","2","2","0.9","250","10","null","249","0.13161418239275616","0.13239944527546563"
"exalted-sweep-168","2","68","2","2","0.9","250","10","null","249","0.16274546086788175","0.1513786190085941"
"treasured-sweep-167","2","67","2","2","0.9","250","10","null","249","0.10710943192243576","0.08864697052372826"
"balmy-sweep-166","2","66","2","2","0.9","250","10","null","249","0.12854457596937816","0.1391522886024581"
